"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Должен определять неидентичность пустой и непустой строки","2","Сравнение пустой и непустой строки","","Fri Dec 05 23:12:08 UTC 2025","passed","Fri Dec 05 23:12:08 UTC 2025","","Задача 2: Тесты сравнения строк","org.example.tasks.Task2StringComparatorTest","testEmptyAndNonEmptyStrings"
"Должен корректно сравнивать два числа, когда a < b","212","Сравнение: a меньше b","","Fri Dec 05 23:12:07 UTC 2025","passed","Fri Dec 05 23:12:07 UTC 2025","","Задача 1: Тесты операций с числами","org.example.tasks.Task1NumberComparatorTest","testCompareWhenALessThanB"
"Должен различать строки с разным регистром","1","Сравнение строк с разным регистром","","Fri Dec 05 23:12:08 UTC 2025","passed","Fri Dec 05 23:12:08 UTC 2025","","Задача 2: Тесты сравнения строк","org.example.tasks.Task2StringComparatorTest","testCaseSensitiveComparison"
"Должен корректно обрабатывать null значения","2","Сравнение null строк","","Fri Dec 05 23:12:08 UTC 2025","passed","Fri Dec 05 23:12:08 UTC 2025","","Задача 2: Тесты сравнения строк","org.example.tasks.Task2StringComparatorTest","testNullStrings"
"Должен правильно умножать два числа","1","Умножение чисел","","Fri Dec 05 23:12:08 UTC 2025","passed","Fri Dec 05 23:12:08 UTC 2025","","Задача 1: Тесты операций с числами","org.example.tasks.Task1NumberComparatorTest","testMultiply"
"Должен возвращать правильное количество чётных чисел","2","Правильное количество чётных чисел","","Fri Dec 05 23:12:08 UTC 2025","passed","Fri Dec 05 23:12:08 UTC 2025","","Задача 3: Тесты фильтра чётных чисел","org.example.tasks.Task3EvenNumberFilterTest","testEvenNumbersCount"
"Должен различать строки с разным количеством пробелов","1","Сравнение строк с разными пробелами","","Fri Dec 05 23:12:08 UTC 2025","passed","Fri Dec 05 23:12:08 UTC 2025","","Задача 2: Тесты сравнения строк","org.example.tasks.Task2StringComparatorTest","testStringsWithDifferentSpaces"
"Должен правильно делить два числа","3","Деление чисел","","Fri Dec 05 23:12:08 UTC 2025","passed","Fri Dec 05 23:12:08 UTC 2025","","Задача 1: Тесты операций с числами","org.example.tasks.Task1NumberComparatorTest","testDivide"
"Должен правильно вычитать два числа","1","Вычитание чисел","","Fri Dec 05 23:12:08 UTC 2025","passed","Fri Dec 05 23:12:08 UTC 2025","","Задача 1: Тесты операций с числами","org.example.tasks.Task1NumberComparatorTest","testSubtract"
"Должен корректно сравнивать два числа, когда a > b","1","Сравнение: a больше b","","Fri Dec 05 23:12:08 UTC 2025","passed","Fri Dec 05 23:12:08 UTC 2025","","Задача 1: Тесты операций с числами","org.example.tasks.Task1NumberComparatorTest","testCompareWhenAGreaterThanB"
"Должен правильно делить с остатком","7","Деление с дробным результатом","","Fri Dec 05 23:12:08 UTC 2025","passed","Fri Dec 05 23:12:08 UTC 2025","","Задача 1: Тесты операций с числами","org.example.tasks.Task1NumberComparatorTest","testDivideWithRemainder"
"Должен определять неидентичность null и обычной строки","1","Сравнение null и обычной строки","","Fri Dec 05 23:12:08 UTC 2025","passed","Fri Dec 05 23:12:08 UTC 2025","","Задача 2: Тесты сравнения строк","org.example.tasks.Task2StringComparatorTest","testNullAndNonNullStrings"
"Должен сохранять порядок чётных чисел","3","Сохранение порядка","","Fri Dec 05 23:12:08 UTC 2025","passed","Fri Dec 05 23:12:08 UTC 2025","","Задача 3: Тесты фильтра чётных чисел","org.example.tasks.Task3EvenNumberFilterTest","testMaintainOrder"
"Должен корректно сравнивать два числа, когда a = b","5","Сравнение: a равно b","","Fri Dec 05 23:12:08 UTC 2025","passed","Fri Dec 05 23:12:08 UTC 2025","","Задача 1: Тесты операций с числами","org.example.tasks.Task1NumberComparatorTest","testCompareWhenAEqualsB"
"Должен игнорировать пробелы как различие","2","Сравнение строк с пробелами","","Fri Dec 05 23:12:08 UTC 2025","passed","Fri Dec 05 23:12:08 UTC 2025","","Задача 2: Тесты сравнения строк","org.example.tasks.Task2StringComparatorTest","testStringsWithSpaces"
"Должен правильно складывать два числа","5","Сложение чисел","","Fri Dec 05 23:12:07 UTC 2025","passed","Fri Dec 05 23:12:08 UTC 2025","","Задача 1: Тесты операций с числами","org.example.tasks.Task1NumberComparatorTest","testAdd"
"Должен определять идентичность пустых строк","1","Сравнение пустых строк","","Fri Dec 05 23:12:08 UTC 2025","passed","Fri Dec 05 23:12:08 UTC 2025","","Задача 2: Тесты сравнения строк","org.example.tasks.Task2StringComparatorTest","testEmptyStrings"
"Должен возвращать только чётные числа","4","Все возвращённые числа чётные","","Fri Dec 05 23:12:08 UTC 2025","passed","Fri Dec 05 23:12:08 UTC 2025","","Задача 3: Тесты фильтра чётных чисел","org.example.tasks.Task3EvenNumberFilterTest","testAllNumbersAreEven"
"","4","Application compiles successfully","","Fri Dec 05 23:12:08 UTC 2025","passed","Fri Dec 05 23:12:08 UTC 2025","","Smoke Tests","org.example.SmokeTest","applicationCompiles"
"Должен выбросить исключение при делении на ноль","7","Деление на ноль","","Fri Dec 05 23:12:07 UTC 2025","passed","Fri Dec 05 23:12:07 UTC 2025","","Задача 1: Тесты операций с числами","org.example.tasks.Task1NumberComparatorTest","testDivideByZero"
"Должен определять неидентичные строки","1","Сравнение неидентичных строк","","Fri Dec 05 23:12:08 UTC 2025","passed","Fri Dec 05 23:12:08 UTC 2025","","Задача 2: Тесты сравнения строк","org.example.tasks.Task2StringComparatorTest","testDifferentStrings"
"Должен фильтровать чётные числа из массива [1,2,3,4,5,6,7,8,9,10]","26","Фильтрация чётных чисел из заданного массива","","Fri Dec 05 23:12:08 UTC 2025","passed","Fri Dec 05 23:12:08 UTC 2025","","Задача 3: Тесты фильтра чётных чисел","org.example.tasks.Task3EvenNumberFilterTest","testFilterEvenNumbers"
"Должен определять идентичные строки","1","Сравнение идентичных строк","","Fri Dec 05 23:12:08 UTC 2025","passed","Fri Dec 05 23:12:08 UTC 2025","","Задача 2: Тесты сравнения строк","org.example.tasks.Task2StringComparatorTest","testIdenticalStrings"
